구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2008-10-29,수,,"7,279","2,345","9,624",24,"4,825","2,466","1,391",968,3,"2,345","1,800","6,625","1,321",679,125,517,1,412,252,"1,573",768,415,115,238,20,260,293,"1,061",235,147,81,7,0,0,0,235,128,0,0,128,0,39,0,128,2,2,0,0,0,2,0,2
2008-10-30,목,,"7,201","2,529","9,730",4,"4,855","2,521","1,286","1,048",4,"2,316","1,787","6,642","1,332",699,138,495,0,398,353,"1,685",641,499,5,137,0,112,389,"1,030",153,44,109,0,0,0,0,153,218,0,0,218,0,40,0,218,2,2,0,0,0,2,0,2
2008-10-31,금,,"3,295",726,"4,021",0,"2,358",606,"1,478",274,0,"1,750",616,"2,974",625,99,272,254,0,327,33,658,136,73,4,59,0,36,77,213,136,105,30,1,0,70,0,136,40,0,0,40,0,40,0,40,0,0,0,0,0,0,0,0
2008-11-01,토,,"22,224","4,038","26,262",18,"14,719","11,694",796,"2,229",12,975,"2,740","17,459","4,844","3,735",87,"1,022",6,55,964,"5,808","2,055","1,680",44,331,0,60,334,"2,389",604,407,88,109,0,0,0,604,0,0,0,0,0,0,0,0,2,2,0,,,,,
2008-11-02,일,,"32,351","3,588","35,939",39,"22,113","16,360",595,"5,158",33,418,"2,505","24,618","6,153","4,259",131,"1,763",6,70,761,"6,914","3,541","2,757",87,697,0,60,322,"3,863",541,410,44,87,0,130,0,541,0,0,0,0,0,0,0,0,3,3,0,,,,,
2008-11-03,월,,"5,205","1,960","7,165",0,"4,450","3,423",86,941,0,325,"1,686","6,136",595,493,1,101,0,0,101,696,129,97,0,32,0,0,173,302,31,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-04,화,,"6,238","1,990","8,228",0,"4,829","2,034","1,534","1,261",0,"2,565","1,641","6,470",990,471,16,503,0,166,169,"1,159",276,117,2,157,0,125,180,456,87,87,0,0,0,0,0,87,56,0,0,56,0,56,0,56,0,0,0,,,,,
2008-11-05,수,,"3,370","1,814","5,184",4,"2,460","1,783",146,531,4,534,"1,604","4,064",643,434,9,200,0,108,95,738,89,51,0,38,0,41,115,204,105,105,0,0,0,0,0,105,73,0,0,73,0,0,0,73,0,0,0,,,,,
2008-11-06,목,,"2,812","1,403","4,215",6,"1,859","1,251",8,600,6,597,"1,261","3,120",781,341,7,433,0,363,82,863,124,80,2,42,0,0,60,184,48,48,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-07,금,,"4,092","1,964","6,056",36,"2,873","2,076",40,757,0,604,"1,574","4,447","1,024",612,40,372,36,525,286,"1,310",101,90,0,11,0,0,104,205,62,56,0,6,0,0,0,62,32,0,0,32,0,0,0,32,0,0,0,,,,,
2008-11-08,토,,"25,368","3,629","28,997",44,"18,638","12,838",674,"5,126",34,"1,074","2,474","21,112","5,075","3,207",151,"1,717",8,43,962,"6,037","1,149",846,16,287,0,23,193,"1,342",482,348,23,111,2,0,0,482,23,0,0,23,0,0,0,23,1,1,0,,,,,
2008-11-09,일,,"22,018","3,544","25,562",35,"15,967","11,185",410,"4,372",25,705,"2,371","18,338","4,991","3,041",80,"1,870",10,679,"1,052","6,043",796,591,9,196,0,0,121,917,263,194,12,57,0,0,0,263,0,0,0,0,0,0,0,0,1,1,0,,,,,
2008-11-10,월,,"3,702","2,069","5,771",0,"2,622","2,252",9,361,0,0,"1,810","4,432",646,500,0,146,0,0,139,785,112,106,0,6,0,0,120,232,321,319,0,2,0,145,0,321,0,0,0,0,0,0,0,0,1,1,0,,,,,
2008-11-11,화,,"3,311","1,833","5,144",4,"2,452","1,854",56,542,0,342,"1,654","4,106",636,459,28,149,4,47,89,725,159,118,0,41,0,11,90,249,21,21,0,0,0,0,0,21,43,0,0,43,0,23,0,43,0,0,0,,,,,
