date,sulfur_dioxide_min,sulfur_dioxide_max,sulfur_dioxide_mean,sulfur_dioxide_median,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_monoxide_median,ozone_min,ozone_max,ozone_mean,ozone_median,nitrogen_dioxide_min,nitrogen_dioxide_max,nitrogen_dioxide_mean,nitrogen_dioxide_median,fine_dust_pm10_min,fine_dust_pm10_max,fine_dust_pm10_mean,fine_dust_pm10_median,rainfall_min,rainfall_max,rainfall_mean,rainfall_median,probability of precipitation_min,probability of precipitation_max,probability of precipitation_mean,probability of precipitation_median,humidity_min,humidity_max,humidity_mean,humidity_median,highest temperature_min,highest temperature_max,highest temperature_mean,highest temperature_median,lowest temperature_min,lowest temperature_max,lowest temperature_mean,lowest temperature_median,wind speed_min,wind speed_max,wind speed_mean,wind speed_median,wind direction_min,wind direction_max,wind direction_mean,wind direction_median,sky state_min,sky state_max,sky state_mean,sky state_median,weekday,visitor
2009-03-26,0.001,0.005,0.0016666666666666,0.001,0.2,0.7,0.4125,0.4,0.003,0.046,0.0310416666666666,0.035,0.008,0.05,0.0220416666666666,0.016,10.0,98.0,42.91304347826087,42.0,0.0,0.0,0.0,0.0,10.0,30.0,21.95945945945946,20.0,35.0,85.0,60.0,60.0,16.0,19.0,17.894736842105264,18.0,8.0,9.0,8.8125,9.0,0.6,1.9,1.2087837837837838,1.15,15.0,360.0,120.06756756756756,121.0,1.0,4.0,2.0135135135135136,1.0,4.0,"1,620"
2009-03-27,0.001,0.003,0.001375,0.001,0.2,0.5,0.35,0.3,0.02,0.046,0.033375,0.0335,0.008,0.028,0.017625,0.0175,7.0,53.0,29.125,29.5,0.0,0.0,0.0,0.0,10.0,20.0,19.18918918918919,20.0,30.0,80.0,55.810810810810814,55.0,18.0,25.0,21.26315789473684,20.0,8.0,10.0,8.6875,8.0,0.4,2.4,1.2912162162162162,1.25,18.0,360.0,213.45945945945945,221.0,1.0,4.0,3.135135135135135,4.0,5.0,"4,352"
2009-03-28,0.001,0.004,0.0018333333333333,0.0015,0.3,0.7,0.4583333333333333,0.45,0.002,0.046,0.0225,0.0255,0.016,0.056,0.03325,0.029,13.0,95.0,39.79166666666666,36.0,0.0,0.0,0.0,0.0,0.0,60.0,16.08108108108108,10.0,40.0,75.0,56.99324324324324,60.0,19.0,25.0,22.105263157894736,22.0,7.0,10.0,8.5,8.5,0.8,3.2,1.6006756756756757,1.2,148.0,302.0,224.945945945946,244.5,1.0,3.0,1.0675675675675675,1.0,6.0,"36,071"
2009-03-30,0.006,0.01,0.008,0.008,0.3,0.5,0.3916666666666666,0.4,0.008,0.054,0.0335833333333333,0.0325,0.011,0.046,0.0221666666666666,0.0185,5.0,67.0,35.75,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,85.0,50.23648648648648,50.0,22.0,26.0,23.68421052631579,23.0,6.0,7.0,6.5625,7.0,0.4,5.1,2.0114864864864863,1.65,63.0,349.0,276.77027027027026,278.0,1.0,4.0,2.6824324324324325,3.0,1.0,"4,641"
2009-04-01,0.001,0.005,0.0031249999999999,0.003,0.2,0.8,0.5499999999999999,0.5,0.008,0.054,0.0374166666666666,0.0424999999999999,0.014,0.05,0.0257916666666666,0.0215,53.0,111.0,80.0,81.0,0.0,5.0,0.8157894736842105,0.0,10.0,20.0,17.22972972972973,20.0,15.0,65.0,41.18243243243244,45.0,26.0,28.0,27.05263157894737,27.0,8.0,11.0,9.3125,8.0,0.4,1.8,1.1425675675675675,1.1,14.0,360.0,147.14864864864865,72.0,1.0,3.0,2.310810810810811,3.0,3.0,"5,459"
2009-05-01,0.005,0.009,0.007125,0.007,0.3,0.7,0.5083333333333333,0.5,0.002,0.075,0.0298333333333333,0.0165,0.008,0.072,0.0371666666666666,0.0385,23.0,74.0,43.17391304347826,39.0,0.0,0.0,0.0,0.0,0.0,20.0,7.905405405405405,10.0,35.0,90.0,58.88513513513514,55.0,28.0,31.0,30.105263157894736,30.0,14.0,14.0,14.0,14.0,0.4,3.5,0.9689189189189188,0.9,45.0,180.0,101.87162162162164,94.0,1.0,4.0,1.2702702702702702,1.0,5.0,"47,293"
2009-06-03,0.005,0.005,0.005,0.005,0.3,0.5,0.3625,0.3,0.003,0.079,0.0422916666666666,0.0405,0.004,0.028,0.0144166666666666,0.0155,36.0,95.0,64.29166666666667,64.5,0.0,1.0,0.2368421052631578,0.0,0.0,20.0,8.91891891891892,0.0,35.0,80.0,55.77702702702703,55.0,32.0,33.0,32.89473684210526,33.0,20.0,20.0,20.0,20.0,0.4,2.5,1.1655405405405406,1.0,9.0,360.0,75.16891891891892,55.0,1.0,3.0,1.3243243243243243,1.0,3.0,"5,633"
2009-06-04,0.003,0.005,0.0045454545454545,0.005,0.4,0.6,0.4636363636363636,0.5,0.001,0.078,0.0184761904761904,0.005,0.01,0.042,0.0228181818181818,0.017,70.0,103.0,84.14285714285714,85.0,0.0,0.0,0.0,0.0,0.0,60.0,14.72972972972973,20.0,35.0,85.0,57.972972972972975,60.0,31.0,33.0,32.26315789473684,33.0,18.0,20.0,19.125,20.0,0.3,1.8,0.8486486486486486,0.75,14.0,360.0,213.8581081081081,317.0,1.0,3.0,1.2567567567567568,1.0,4.0,"14,036"
2009-06-05,0.003,0.005,0.0032083333333333,0.003,0.3,0.8,0.5,0.5,0.001,0.059,0.0083333333333333,0.001,0.026,0.054,0.0347499999999999,0.033,43.0,97.0,61.91304347826087,61.0,0.0,5.0,2.289473684210526,0.5,0.0,20.0,17.7027027027027,20.0,35.0,75.0,55.13513513513514,55.0,31.0,33.0,32.473684210526315,33.0,18.0,18.0,18.0,18.0,0.4,2.4,1.066891891891892,0.75,21.0,360.0,299.6216216216216,305.5,1.0,3.0,1.1216216216216215,1.0,5.0,"17,786"
2009-06-07,0.002,0.005,0.00325,0.003,0.3,0.5,0.4208333333333333,0.4,0.001,0.001,0.001,0.001,0.021,0.038,0.027875,0.0265,29.0,82.0,51.583333333333336,50.0,0.0,5.0,0.0657894736842105,0.0,30.0,70.0,43.04054054054054,30.0,65.0,90.0,78.04054054054055,80.0,25.0,33.0,27.57894736842105,28.0,18.0,19.0,18.5,18.5,0.5,5.0,2.106081081081081,1.65,316.0,348.0,329.68243243243245,330.0,1.0,4.0,3.0135135135135136,3.0,7.0,"23,793"
