date,"('sulfur_dioxide_min',)","('sulfur_dioxide_mean',)","('sulfur_dioxide_median',)","('carbon_monoxide_min',)","('carbon_monoxide_max',)","('carbon_monoxide_mean',)","('carbon_monoxide_median',)","('ozone_max',)","('ozone_mean',)","('ozone_median',)","('nitrogen_dioxide_min',)","('nitrogen_dioxide_mean',)","('nitrogen_dioxide_median',)","('humidity_min',)","('humidity_max',)","('humidity_mean',)","('humidity_median',)","('highest temperature_min',)","('highest temperature_max',)","('highest temperature_mean',)","('highest temperature_median',)","('lowest temperature_min',)","('lowest temperature_max',)","('lowest temperature_mean',)","('lowest temperature_median',)","('sky state_min',)","('sky state_max',)","('sky state_mean',)","('day',)","('wind direction_min_13.0',)","('wind direction_mean_15.0',)","('wind direction_median_9.0',)","('wind direction_median_16.0',)","('weekday_1.0',)","('weekday_2.0',)","('weekday_3.0',)","('weekday_4.0',)","('weekday_5.0',)","('weekday_6.0',)","('weekday_7.0',)",visitor
2010-06-12,-0.0269727235132669,-0.3473321968464282,-0.4268262283737264,-0.293248224049327,-0.1344131851031839,-0.4982476289286412,-0.4119071591907646,-0.0765682171137494,0.5405905943801774,0.7838993371187994,-0.1420004115253915,-0.1902222287950634,-0.1302685617561451,0.3746151428000128,0.1694880427394068,0.3853314355090939,0.500662682790258,1.4616224776203532,1.2636939421502238,1.3927447299644289,1.3901970736290856,1.5054289382845087,1.3301999176737858,1.4267178282133688,1.4160880032532417,2.6559315766194307,0.8668262433444672,1.557048580528861,-0.1582520023236985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4802
2010-06-13,-0.0269727235132669,-0.4444178458080499,-0.4268262283737264,-0.293248224049327,-0.3608512334544863,-0.5466953109621167,-0.7965408591085879,0.5952600422307516,0.3416524217301107,0.2995068573969176,-0.7463855087199369,-0.6012806220992187,-0.7686179867784336,-0.2852122711526215,-0.8780864363010539,-0.6528919190018614,-0.6273595019151984,1.5520912574355683,1.2636939421502238,1.4074807446815698,1.3901970736290856,1.5054289382845087,1.3301999176737858,1.4267178282133688,1.4160880032532417,0.3688279021264947,0.8668262433444672,1.557048580528861,-0.1487003774341194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24464
2010-06-14,-0.0269727235132669,0.1542769894552963,0.3632785018916832,-1.380756288592888,-0.1344131851031839,-0.4271910286128773,-0.4119071591907646,0.1846983281868899,-0.4410551427947316,-0.5947561820896339,0.7214068701811023,0.2374110997229666,0.2827810661994533,0.0447014358236956,0.483760386451545,-0.4126329018846665,-0.6273595019151984,1.5520912574355683,1.4566517688926006,1.554840891852982,1.5750948136814067,1.5054289382845087,1.3301999176737858,1.4267178282133688,1.4160880032532417,-0.7747239351199735,-0.3249994773096523,-0.4485860211126992,-0.1391487525445404,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3703
2010-06-15,0.5727451290159378,0.0733722819872525,-0.0317738632410215,-1.380756288592888,-1.0401653785083926,-1.3115814424603198,-1.181174559026411,-0.0765682171137494,-0.4932356470963825,-1.0046267418543031,0.2033625011572059,-0.0609377341268217,0.0950312353105448,-0.6151259781289385,0.1694880427394068,-0.4811230289361743,-0.6273595019151984,1.733028817065999,1.4566517688926006,1.594136931098692,1.5750948136814067,1.5054289382845087,1.3301999176737858,1.4267178282133688,1.4160880032532417,0.3688279021264947,0.8668262433444672,0.5542312797080808,-0.1295971276549613,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6408
2010-06-16,0.5727451290159378,0.6073433512761716,0.3632785018916832,0.2505058082224533,-0.5872892818057884,-0.4013522648616903,-0.4119071591907646,1.1924407172036415,0.6482128845023433,0.6348554972043741,-0.2283411396960407,-0.3294516845916392,-0.3555683588228351,-0.6151259781289385,-0.8780864363010539,-0.6414768978266104,-0.5145572834446528,1.733028817065999,1.4566517688926006,1.594136931098692,1.5750948136814067,1.4141278189598394,1.3301999176737858,1.3610041494862188,1.3211785870554285,-0.7747239351199735,-1.516825197963772,-0.4485860211126992,-0.1200455027653822,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7054
2010-06-17,1.1724629815451424,1.4487523089435717,1.5484355972897976,0.2505058082224533,0.5449009599507227,0.7775413312862116,0.7419939405627053,0.8565265875313912,1.0819633265098547,1.4545966167337128,-0.6600447805492876,0.615319622599365,0.3954309647327985,-0.2852122711526215,-0.3542991967808235,-0.5197166719572625,-0.6273595019151984,1.733028817065999,1.4566517688926006,1.594136931098692,1.5750948136814067,1.4141278189598394,1.3301999176737858,1.3729520910729736,1.3211785870554285,-0.7747239351199735,-0.3249994773096523,-1.4514033219334794,-0.1104938778758032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12160
2010-06-18,1.1724629815451424,0.7044290002377929,0.7583308670243881,0.7942598404942337,0.5449009599507227,0.906735150042146,0.7419939405627053,1.9389165609197545,1.1015310156229758,0.3367678173755237,-0.3146818678666902,0.4197353870756098,0.3954309647327985,0.0447014358236956,0.1694880427394068,-0.0957301711622126,-0.439355804464289,1.733028817065999,1.5531306822637891,1.6481689850615433,1.6675436837075674,1.5054289382845087,1.4295586999491954,1.4685356237670095,1.4160880032532417,-0.7747239351199735,-0.3249994773096523,-0.4485860211126992,-0.1009422529862241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10372
2010-06-19,0.5727451290159378,0.3646292288721173,0.3632785018916832,0.2505058082224533,0.0920248632481182,0.3415121929849329,0.3573602406448817,0.5579362500449462,0.7003933888039943,0.597594537225768,-0.8327262368905863,-0.5515558164575877,-0.6184181220673068,0.0447014358236956,0.6932752822596372,0.2141061178803242,0.1246552878884392,1.8234975968812144,1.6496095956349774,1.707113043930108,1.6675436837075674,1.5967300576091783,1.528917482224605,1.5402232732875367,1.5109974194510547,-0.7747239351199735,-1.516825197963772,-0.4485860211126992,-0.091390628096645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13207
2010-06-20,0.5727451290159378,0.2028198139361071,0.3632785018916832,0.7942598404942337,-0.1344131851031839,0.2930645109514572,0.3573602406448817,0.7072314187881686,0.641690321464631,0.5603335772471617,-0.5737040523786382,-0.8101248057940708,-0.6559680882450886,0.7045288497763299,0.6932752822596372,0.6326568943062075,0.8766700776920769,1.733028817065999,1.6496095956349774,1.6629049997786844,1.6675436837075674,1.688031176933848,1.6282762645000144,1.6417807767749502,1.6059068356488682,1.5123797393729628,-0.3249994773096523,0.5542312797080808,-0.0818390032070659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22598
2010-06-21,0.5727451290159378,0.5426195853017828,0.3632785018916832,1.338013872766014,0.0920248632481182,0.7775413312862116,0.7419939405627053,2.31215448277781,1.7407421933182663,0.9702041370118308,-0.6600447805492876,-0.1504423842817583,0.0199313029549741,0.7045288497763299,0.1694880427394068,0.5592746153224478,0.500662682790258,1.733028817065999,1.6496095956349774,1.6727290095901122,1.6675436837075674,1.688031176933848,1.6282762645000144,1.635806805981573,1.6059068356488682,0.3688279021264947,-0.3249994773096523,-0.4485860211126992,-0.0722873783174869,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5633
