date,sulfur_dioxide_min,sulfur_dioxide_max,sulfur_dioxide_mean,sulfur_dioxide_median,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_monoxide_median,ozone_min,ozone_max,ozone_mean,ozone_median,nitrogen_dioxide_min,nitrogen_dioxide_max,nitrogen_dioxide_mean,nitrogen_dioxide_median,fine_dust_pm10_min,fine_dust_pm10_max,fine_dust_pm10_mean,fine_dust_pm10_median
2008-11-07,0.004,0.011,0.008083333333333333,0.009,0.3,1.0,0.7000000000000001,0.8,0.002,0.024,0.009708333333333333,0.0085,0.028,0.059,0.040791666666666664,0.0395,47.0,211.0,139.95833333333334,159.5
2008-11-08,0.003,0.01,0.005333333333333333,0.005,0.2,0.9,0.5,0.5,0.002,0.034,0.00725,0.002,0.012,0.048,0.033625,0.034,18.0,89.0,46.95652173913044,44.0
2008-11-09,0.003,0.005,0.0040416666666666665,0.004,0.2,0.5,0.25833333333333336,0.2,0.002,0.019,0.011000000000000001,0.0115,0.009,0.03,0.019782608695652175,0.019,6.0,31.0,14.08695652173913,12.0
2008-11-10,0.003,0.006,0.004,0.004,0.1,0.9,0.37083333333333335,0.3,0.002,0.035,0.009791666666666667,0.003,0.01,0.053,0.029916666666666664,0.027,5.0,47.0,16.875,11.5
2008-11-11,0.004,0.009,0.005750000000000001,0.006,0.1,0.9,0.5083333333333333,0.6,0.002,0.038,0.010875000000000001,0.002,0.011,0.058,0.03704166666666667,0.037,16.0,67.0,27.928571428571427,24.0
2008-11-12,0.004,0.009,0.0065,0.006,0.3,1.1,0.6666666666666666,0.7,0.002,0.032,0.007583333333333333,0.002,0.029,0.069,0.050749999999999997,0.0495,14.0,94.0,46.208333333333336,40.0
2008-11-13,0.005,0.01,0.006875,0.006,0.2,1.1,0.6458333333333334,0.7,0.002,0.037,0.009333333333333334,0.002,0.03,0.067,0.049958333333333334,0.0505,28.0,94.0,59.43478260869565,59.0
2008-11-14,0.005,0.008,0.006124999999999999,0.006,0.3,1.2,0.7166666666666667,0.7,0.002,0.024,0.006124999999999999,0.002,0.034,0.067,0.05320833333333333,0.05,28.0,98.0,60.77272727272727,60.5
2008-11-15,0.007,0.01,0.008041666666666667,0.008,0.7,1.3,0.9833333333333334,1.0,0.002,0.004,0.0025,0.002,0.05,0.065,0.0565,0.056,58.0,109.0,84.16666666666667,82.0
2008-11-16,0.005,0.009,0.007208333333333334,0.007,0.1,1.1,0.42083333333333334,0.35,0.002,0.037,0.01575,0.011,0.013,0.059,0.029791666666666664,0.029,10.0,82.0,45.708333333333336,43.5
2008-11-17,0.003,0.009,0.005666666666666667,0.005,0.1,0.7,0.32916666666666666,0.3,0.002,0.027,0.012124999999999999,0.008,0.013,0.048,0.027958333333333335,0.0275,5.0,62.0,30.0,21.0
