timestamp,sky state_min,sky state_max,sky state_mean,sky state_median
2019-06-26,2.0,4.0,3.3181818181818183,3.0
2019-06-27,2.0,4.0,3.7954545454545454,4.0
2019-06-28,2.0,4.0,3.5,4.0
2019-06-29,2.0,4.0,3.6666666666666665,4.0
2019-06-30,1.0,3.0,2.4015151515151514,2.0
2019-07-01,2.0,4.0,3.5,4.0
2019-07-02,2.0,4.0,3.628787878787879,4.0
2019-07-03,2.0,4.0,3.5984848484848486,4.0
2019-07-04,3.0,4.0,3.727272727272727,4.0
2019-07-05,2.0,3.0,2.287878787878788,2.0
2019-07-06,2.0,4.0,2.909090909090909,3.0
2019-07-07,4.0,4.0,4.0,4.0
2019-07-08,3.0,4.0,3.878787878787879,4.0
2019-07-09,2.0,4.0,2.5681818181818183,3.0
2019-07-10,3.0,4.0,3.6818181818181817,4.0
2019-07-11,2.0,4.0,2.840909090909091,3.0
2019-07-12,1.0,3.0,2.234848484848485,2.0
2019-07-13,2.0,4.0,3.2803030303030303,3.0
2019-07-14,3.0,4.0,3.1818181818181817,3.0
2019-07-15,3.0,4.0,3.409090909090909,3.0
2019-07-16,2.0,4.0,3.242424242424242,3.0
2019-07-17,2.0,4.0,2.8484848484848486,3.0
2019-07-18,3.0,4.0,3.727272727272727,4.0
2019-07-19,2.0,4.0,2.484848484848485,2.0
2019-07-20,2.0,3.0,2.492424242424242,2.0
2019-07-21,2.0,4.0,2.869281045751634,3.0
2019-07-22,2.0,4.0,2.928205128205128,3.0
2019-07-23,2.0,4.0,3.346590909090909,3.0
2019-07-24,2.0,4.0,2.9411764705882355,3.0
2019-07-25,2.0,4.0,3.2954545454545454,3.0
2019-07-26,3.0,4.0,3.871212121212121,4.0
2019-07-27,4.0,4.0,4.0,4.0
2019-07-28,3.0,4.0,3.5833333333333335,4.0
2019-07-29,2.0,3.0,2.9545454545454546,3.0
2019-07-30,1.0,4.0,3.4696969696969697,4.0
2019-07-31,4.0,4.0,4.0,4.0
2019-08-01,1.0,4.0,3.7045454545454546,4.0
2019-08-02,1.0,3.0,1.6742424242424243,1.5
2019-08-03,1.0,3.0,1.4242424242424243,1.0
2019-08-04,1.0,2.0,1.196969696969697,1.0
2019-08-05,1.0,2.0,1.1742424242424243,1.0
2019-08-06,1.0,4.0,3.022727272727273,3.0
2019-08-07,2.0,4.0,2.8863636363636362,3.0
2019-08-08,2.0,4.0,3.5681818181818183,4.0
2019-08-09,2.0,4.0,3.121212121212121,3.0
2019-08-10,1.0,3.0,1.9621212121212122,2.0
2019-08-11,1.0,3.0,1.6742424242424243,2.0
2019-08-12,1.0,2.0,1.378787878787879,1.0
2019-08-13,1.0,3.0,1.9393939393939394,2.0
2019-08-14,2.0,4.0,3.0454545454545454,3.0
2019-08-15,3.0,4.0,3.9318181818181817,4.0
2019-08-16,1.0,4.0,2.4696969696969697,2.0
2019-08-17,1.0,3.0,2.121212121212121,2.0
2019-08-18,2.0,4.0,3.196969696969697,3.0
2019-08-19,1.0,4.0,3.25,3.0
2019-08-20,1.0,3.0,1.5303030303030303,1.0
2019-08-21,1.0,3.0,1.196969696969697,1.0
2019-08-22,1.0,2.0,1.1893939393939394,1.0
2019-08-23,1.0,3.0,1.303030303030303,1.0
2019-08-24,1.0,3.0,1.7954545454545454,2.0
2019-08-25,2.0,3.0,2.787878787878788,3.0
2019-08-26,3.0,4.0,3.121212121212121,3.0
2019-08-27,2.0,4.0,2.803030303030303,3.0
2019-08-28,1.0,3.0,1.5378787878787878,2.0
2019-08-29,1.0,2.0,1.2196969696969697,1.0
2019-08-30,1.0,3.0,2.537878787878788,3.0
2019-08-31,3.0,4.0,3.6742424242424243,4.0
2019-09-01,1.0,4.0,2.590909090909091,3.0
2019-09-02,1.0,3.0,1.5606060606060606,1.0
2019-09-03,1.0,4.0,3.628787878787879,4.0
2019-09-04,1.0,3.0,1.8181818181818181,2.0
2019-09-05,1.0,2.0,1.1666666666666667,1.0
2019-09-06,1.0,3.0,1.553030303030303,1.0
2019-09-07,1.0,3.0,1.4242424242424243,1.0
2019-09-08,1.0,2.0,1.446969696969697,1.0
2019-09-09,1.0,4.0,3.356060606060606,3.5
2019-09-10,1.0,4.0,3.106060606060606,3.5
2019-09-11,1.0,3.0,1.4848484848484849,1.0
2019-09-12,1.0,2.0,1.4090909090909092,1.0
2019-09-13,1.0,3.0,2.1666666666666665,2.0
2019-09-14,1.0,3.0,2.007575757575758,2.0
2019-09-15,1.0,4.0,3.3106060606060606,3.0
2019-09-16,4.0,4.0,4.0,4.0
2019-09-17,1.0,4.0,2.787878787878788,3.0
2019-09-18,1.0,3.0,2.196969696969697,2.0
2019-09-19,1.0,3.0,2.0454545454545454,2.0
2019-09-20,2.0,4.0,3.279279279279279,3.0
2019-09-21,1.0,4.0,2.652173913043478,3.0
2019-09-22,1.0,3.0,1.4659090909090908,1.0
2019-09-23,1.0,4.0,2.984375,3.0
2019-09-24,1.0,4.0,2.4166666666666665,2.0
2019-09-25,1.0,2.0,1.371212121212121,1.0
2019-09-26,1.0,2.0,1.3333333333333333,1.0
2019-09-27,1.0,3.0,2.007575757575758,2.0
2019-09-28,1.0,3.0,2.4696969696969697,2.0
2019-09-29,1.0,4.0,2.5,3.0
2019-09-30,1.0,3.0,1.3636363636363635,1.0
2019-10-01,1.0,2.0,1.8106060606060606,2.0
2019-10-02,2.0,4.0,2.553030303030303,2.0
2019-10-03,1.0,4.0,3.234848484848485,3.0
