timestamp,wind direction_min,wind direction_max,wind direction_mean,wind direction_median
2019-08-30,11,360,256.72727272727275,294.5
2019-08-31,0,360,255.64864864864865,315.0
2019-09-01,45,315,243.81159420289856,270.0
2019-09-02,0,307,226.7840909090909,225.0
2019-09-03,0,360,282.578125,315.0
2019-09-04,24,315,218.36363636363637,225.0
2019-09-05,11,336,300.469696969697,315.0
2019-09-06,15,360,291.0530303030303,315.0
2019-09-07,43,360,205.33333333333334,290.5
2019-09-08,37,360,139.20454545454547,90.0
2019-09-09,15,135,61.65151515151515,55.0
2019-09-10,0,360,145.81060606060606,90.0
2019-09-11,0,360,282.59090909090907,315.0
2019-09-12,11,360,288.6136363636364,315.0
2019-09-13,270,360,330.31060606060606,315.0
2019-09-14,295,360,327.56060606060606,315.0
2019-09-15,278,360,310.45454545454544,315.0
2019-09-16,297,360,317.57575757575756,315.0
2019-09-17,278,360,313.6969696969697,315.0
2019-09-18,297,321,314.72727272727275,315.0
2019-09-19,297,360,318.09090909090907,315.0
2019-09-20,294,330,314.68939393939394,315.0
2019-09-21,225,319,280.5378787878788,270.0
2019-09-22,225,270,231.8181818181818,225.0
2019-09-23,45,360,248.81060606060606,315.0
2019-09-24,45,360,186.68939393939394,225.0
2019-09-25,90,323,288.8863636363636,315.0
2019-09-26,286,319,311.0378787878788,315.0
2019-09-27,30,360,295.4166666666667,315.0
2019-09-28,45,360,262.68939393939394,307.0
2019-09-29,45,315,229.08333333333334,225.0
2019-09-30,295,335,313.15909090909093,315.0
2019-10-01,270,326,305.8939393939394,315.0
2019-10-02,61,328,269.98198198198196,285.0
2019-10-03,225,349,288.6666666666667,297.0
2019-10-04,300,302,301.0,301.0
2019-10-05,45,328,190.0,225.0
2019-10-06,270,349,310.2738095238095,315.0
2019-10-07,24,360,225.0078125,309.0
2019-10-08,23,360,261.8181818181818,315.0
2019-10-09,296,315,312.72727272727275,315.0
2019-10-10,294,319,310.9469696969697,315.0
2019-10-11,290,360,311.8636363636364,315.0
2019-10-12,270,336,305.49242424242425,315.0
2019-10-13,11,345,274.3181818181818,315.0
2019-10-14,33,360,287.7651515151515,315.0
2019-10-15,270,336,311.8712121212121,315.0
2019-10-16,45,336,304.72727272727275,315.0
2019-10-17,18,333,299.4318181818182,315.0
2019-10-18,72,315,251.75,270.0
2019-10-19,45,323,304.0681818181818,315.0
2019-10-20,24,360,288.5530303030303,315.0
2019-10-21,0,328,219.0,225.0
2019-10-22,45,360,215.03787878787878,225.0
2019-10-23,45,315,207.41666666666666,225.0
2019-10-24,79,315,253.8181818181818,270.0
2019-10-25,286,327,311.0681818181818,315.0
2019-10-26,285,323,309.6060606060606,315.0
2019-10-27,0,330,294.1136363636364,313.5
2019-10-28,66,323,247.88636363636363,270.0
2019-10-29,284,333,311.4015151515151,315.0
2019-10-30,72,356,231.5909090909091,225.0
2019-10-31,53,323,254.63636363636363,270.0
2019-11-01,24,315,291.6515151515151,315.0
2019-11-02,37,336,254.49242424242425,273.0
2019-11-03,45,323,257.6515151515151,270.0
2019-11-04,45,315,275.4318181818182,315.0
2019-11-05,45,360,287.3560606060606,315.0
2019-11-06,270,323,309.02272727272725,315.0
2019-11-07,270,327,306.1060606060606,315.0
2019-11-08,264,330,304.7878787878788,315.0
2019-11-09,284,330,310.92424242424244,315.0
2019-11-10,11,360,284.82575757575756,315.0
2019-11-11,45,360,229.38636363636363,225.0
2019-11-12,17,360,250.53787878787878,270.0
2019-11-13,45,360,185.21969696969697,101.0
2019-11-14,4,360,123.06818181818181,45.0
2019-11-15,27,360,60.07575757575758,45.0
2019-11-16,0,360,194.0,90.0
2019-11-17,33,360,309.3030303030303,315.0
2019-11-18,45,360,317.57575757575756,315.0
2019-11-19,281,360,311.3939393939394,315.0
2019-11-20,45,360,290.84090909090907,315.0
2019-11-21,45,315,244.3181818181818,268.0
2019-11-22,0,360,288.6666666666667,315.0
2019-11-23,246,340,277.1439393939394,270.0
2019-11-24,29,270,229.06060606060606,225.0
2019-11-25,225,270,227.72727272727272,225.0
2019-11-26,0,315,258.1666666666667,285.0
2019-11-27,45,315,193.6439393939394,225.0
2019-11-28,79,225,206.5530303030303,225.0
2019-11-29,29,315,152.56060606060606,180.0
