timestamp,probability of precipitation_min,probability of precipitation_max,probability of precipitation_mean,probability of precipitation_median
2019-08-12,20,60,22.424242424242426,20.0
2019-08-13,20,80,29.848484848484848,30.0
2019-08-14,10,60,27.575757575757574,20.0
2019-08-15,10,60,18.863636363636363,20.0
2019-08-16,20,60,36.06060606060606,30.0
2019-08-17,10,30,14.848484848484848,10.0
2019-08-18,10,20,15.530303030303031,20.0
2019-08-19,10,60,22.575757575757574,20.0
2019-08-20,10,60,26.28787878787879,20.0
2019-08-21,10,60,21.96969696969697,20.0
2019-08-22,20,60,30.833333333333332,30.0
2019-08-23,10,30,19.393939393939394,20.0
2019-08-24,10,30,21.59090909090909,20.0
2019-08-25,20,80,37.65151515151515,30.0
2019-08-26,30,80,54.621212121212125,60.0
2019-08-27,20,70,38.333333333333336,30.0
2019-08-28,10,30,21.363636363636363,20.0
2019-08-29,0,30,24.166666666666668,30.0
2019-08-30,30,90,67.87878787878788,75.0
2019-08-31,10,90,57.95454545454545,60.0
2019-09-01,0,30,7.348484848484849,5.0
2019-09-02,0,20,4.242424242424242,0.0
2019-09-03,0,10,1.6666666666666667,0.0
2019-09-04,0,10,2.121212121212121,0.0
2019-09-05,0,60,28.636363636363637,20.0
2019-09-06,10,60,19.166666666666668,20.0
2019-09-07,10,60,31.363636363636363,30.0
2019-09-08,10,90,38.10606060606061,30.0
2019-09-09,0,20,10.227272727272727,10.0
2019-09-10,0,20,7.045454545454546,10.0
2019-09-11,0,10,3.787878787878788,0.0
2019-09-12,0,20,9.090909090909092,10.0
2019-09-13,10,30,19.848484848484848,20.0
2019-09-14,20,90,60.0,60.0
2019-09-15,0,80,22.348484848484848,10.0
2019-09-16,0,20,11.515151515151516,10.0
2019-09-17,10,30,20.454545454545453,20.0
2019-09-18,0,60,25.984848484848484,20.0
2019-09-19,0,20,4.848484848484849,0.0
2019-09-20,0,10,1.4393939393939394,0.0
2019-09-21,0,10,1.5151515151515151,0.0
2019-09-22,0,20,2.6818181818181817,0.0
2019-09-23,0,20,6.4393939393939394,10.0
2019-09-24,10,20,17.87878787878788,20.0
2019-09-25,20,30,21.742424242424242,20.0
2019-09-26,10,60,19.772727272727273,20.0
2019-09-27,0,20,5.378787878787879,10.0
2019-09-28,0,10,2.196969696969697,0.0
2019-09-29,0,20,15.075757575757576,20.0
2019-09-30,20,60,34.09090909090909,30.0
