timestamp,wind speed_min,wind speed_max,wind speed_mean,wind speed_median
2019-07-02,0.5,2.0,1.0846846846846847,1.0
2019-07-03,0.6,3.0,1.4376811594202898,1.0
2019-07-04,0.8,4.0,2.0295454545454543,2.0
2019-07-05,0.4,4.0,1.884375,2.0
2019-07-06,0.1,3.0,1.5446969696969697,1.3
2019-07-07,0.1,2.5,1.021969696969697,1.0
2019-07-08,0.3,2.7,1.3007575757575758,1.3
2019-07-09,0.9,7.0,3.0840909090909094,2.8
2019-07-10,0.5,5.0,2.0795454545454546,2.0
2019-07-11,0.2,3.0,1.259090909090909,1.0
2019-07-12,0.1,3.0,1.3666666666666667,1.0
2019-07-13,0.4,3.0,1.2106060606060607,1.0
2019-07-14,0.0,2.5,1.3257575757575757,1.0
2019-07-15,0.1,5.0,1.368939393939394,1.0
2019-07-16,0.1,3.0,1.3060606060606061,1.1
2019-07-17,0.4,3.0,1.3098484848484848,1.0
2019-07-18,0.3,6.0,2.9174242424242425,3.0
2019-07-19,0.4,5.0,2.960606060606061,3.0
2019-07-20,0.6,6.9,2.643939393939394,2.7
2019-07-21,1.0,9.1,3.9477272727272728,3.0
2019-07-22,1.0,3.0,2.1303030303030304,2.0
2019-07-23,0.1,3.0,1.537121212121212,1.0
2019-07-24,0.1,3.0,1.2681818181818183,1.0
2019-07-25,0.4,2.0,1.1295454545454544,1.0
2019-07-26,0.2,3.0,1.1257575757575757,1.0
2019-07-27,0.1,2.0,1.0075757575757576,1.0
2019-07-28,0.3,2.7,1.2181818181818183,1.0
2019-07-29,0.0,2.3,1.1939393939393939,1.0
2019-07-30,0.0,2.0,1.0462121212121211,1.0
2019-07-31,0.0,3.6,1.3484848484848484,1.0
2019-08-01,0.6,2.0,1.246212121212121,1.0
2019-08-02,1.0,6.0,3.65359477124183,4.0
2019-08-03,0.2,5.9,3.2635897435897436,3.0
2019-08-04,0.3,5.1,2.353409090909091,2.0
2019-08-05,0.4,3.0,1.738235294117647,2.0
2019-08-06,0.7,3.2,1.4454545454545455,1.1
2019-08-07,0.5,3.1,1.418181818181818,1.0
2019-08-08,0.6,3.0,1.8454545454545455,2.0
2019-08-09,1.0,4.0,1.5863636363636364,2.0
2019-08-10,1.0,3.1,1.7636363636363637,2.0
2019-08-11,2.0,5.1,3.712878787878788,4.0
2019-08-12,1.0,5.0,2.64469696969697,3.0
2019-08-13,1.0,5.0,2.5787878787878786,2.0
2019-08-14,1.0,4.0,1.9772727272727273,2.0
2019-08-15,1.0,5.0,3.4484848484848483,4.0
2019-08-16,1.0,5.1,3.120454545454545,3.0
2019-08-17,1.9,3.0,2.51969696969697,2.8
2019-08-18,0.6,5.0,2.346969696969697,2.0
2019-08-19,0.4,3.0,1.7727272727272727,2.0
2019-08-20,0.4,3.2,2.115909090909091,2.0
2019-08-21,0.1,3.0,1.4856060606060606,1.6
2019-08-22,0.1,3.0,1.534848484848485,1.5
2019-08-23,0.5,3.0,1.4719696969696972,1.3
2019-08-24,0.3,3.0,1.3181818181818181,1.0
2019-08-25,0.4,3.0,1.3515151515151516,1.15
2019-08-26,0.1,3.0,1.309090909090909,1.3
2019-08-27,0.1,2.0,1.1583333333333334,1.0
2019-08-28,0.5,3.0,1.7984848484848486,2.0
2019-08-29,0.4,2.3,1.2946969696969697,1.0
2019-08-30,0.1,2.1,1.231060606060606,1.2
2019-08-31,0.5,3.0,1.4030303030303028,1.3
2019-09-01,0.4,3.0,1.3873873873873874,1.2
2019-09-02,0.8,3.0,1.3275362318840578,1.1
2019-09-03,0.3,3.1,1.4215909090909091,1.4
2019-09-04,0.4,3.1,1.796875,2.0
2019-09-05,0.6,5.0,2.628787878787879,2.0
2019-09-06,1.0,8.1,4.305303030303031,4.0
2019-09-07,1.0,5.1,2.6818181818181817,3.0
2019-09-08,1.0,3.0,1.8545454545454547,2.0
2019-09-09,0.5,3.0,1.6015151515151516,1.7
2019-09-10,0.7,3.0,1.7606060606060607,2.0
2019-09-11,0.4,3.0,1.7196969696969697,1.95
2019-09-12,0.4,3.0,1.7651515151515151,1.6
2019-09-13,0.5,4.9,2.25,2.0
2019-09-14,0.7,4.0,2.009090909090909,2.0
2019-09-15,0.8,5.9,3.056060606060606,3.0
2019-09-16,1.9,4.0,2.6143939393939397,3.0
2019-09-17,1.6,3.0,2.5257575757575754,2.7
2019-09-18,1.1,3.0,2.331818181818182,2.0
2019-09-19,0.7,4.0,2.5984848484848486,3.0
2019-09-20,1.0,3.0,2.8181818181818183,3.0
2019-09-21,1.0,4.0,2.6121212121212123,3.0
2019-09-22,1.0,3.0,2.0272727272727273,2.0
2019-09-23,1.0,3.0,2.284848484848485,2.0
2019-09-24,1.0,3.0,2.025,2.0
2019-09-25,0.5,3.0,1.8598484848484849,2.0
2019-09-26,2.0,6.9,4.057575757575758,4.0
2019-09-27,1.4,4.0,2.9,3.0
2019-09-28,0.7,3.1,2.0409090909090906,2.0
2019-09-29,0.7,3.0,2.118181818181818,2.0
2019-09-30,1.7,4.0,3.131818181818182,3.0
2019-10-01,2.0,6.9,4.1886363636363635,4.0
2019-10-02,2.0,4.0,2.975757575757576,3.0
2019-10-03,0.6,3.0,2.263063063063063,2.0
2019-10-04,0.5,3.0,2.15,2.0
2019-10-05,1.5,3.0,2.25,2.25
2019-10-06,0.6,3.0,1.7380952380952381,1.5
2019-10-07,0.5,4.0,2.7285714285714286,3.0
2019-10-08,1.5,3.3,2.434375,2.0
2019-10-09,2.0,5.9,3.275757575757576,3.0
2019-10-10,1.0,4.9,2.9939393939393937,3.0
2019-10-11,1.0,3.0,2.3515151515151516,2.0
2019-10-12,1.0,3.0,2.1613636363636366,2.0
2019-10-13,1.0,3.0,1.9242424242424243,2.0
2019-10-14,0.5,3.0,1.9318181818181819,2.0
2019-10-15,0.9,3.0,1.7696969696969695,2.0
2019-10-16,1.0,4.9,3.312121212121212,4.0
2019-10-17,1.0,5.0,3.5545454545454547,4.0
2019-10-18,0.9,3.1,2.60530303030303,3.0
2019-10-19,0.9,3.0,1.8780303030303032,2.0
2019-10-20,1.0,3.5,2.297727272727273,2.0
2019-10-21,0.9,3.0,1.9803030303030302,2.0
2019-10-22,0.4,3.0,1.8060606060606061,2.0
2019-10-23,0.9,2.5,1.7477272727272726,2.0
2019-10-24,0.5,4.0,2.412121212121212,2.5
2019-10-25,1.0,4.0,2.5492424242424243,3.0
2019-10-26,1.6,4.5,3.4575757575757575,4.0
2019-10-27,1.7,4.5,2.859848484848485,3.0
2019-10-28,0.2,3.5,2.3696969696969696,2.5
2019-10-29,0.6,4.0,2.484848484848485,2.75
2019-10-30,1.0,4.0,2.740909090909091,3.0
2019-10-31,0.9,3.0,1.9704545454545457,2.0
2019-11-01,1.0,3.0,2.335606060606061,2.5
2019-11-02,0.5,4.0,2.881818181818182,3.0
2019-11-03,0.5,4.0,2.23030303030303,2.0
2019-11-04,0.9,3.0,2.2090909090909094,2.0
2019-11-05,1.0,3.0,2.139393939393939,2.0
2019-11-06,1.0,4.0,2.787121212121212,3.0
2019-11-07,2.0,4.9,3.481818181818182,3.5
2019-11-08,2.0,4.0,2.8234848484848483,3.0
2019-11-09,2.0,4.0,2.703030303030303,3.0
2019-11-10,1.0,3.5,2.4060606060606062,2.0
2019-11-11,0.5,3.0,1.865151515151515,2.0
2019-11-12,0.9,3.0,1.5674242424242424,1.5
2019-11-13,1.0,2.5,1.7204545454545455,2.0
2019-11-14,0.5,3.0,1.9848484848484849,2.0
2019-11-15,0.5,2.5,1.8143939393939394,2.0
2019-11-16,0.7,3.5,2.3810606060606063,2.5
2019-11-17,0.2,3.5,2.331818181818182,2.1
2019-11-18,1.0,3.0,2.3856060606060603,2.0
2019-11-19,0.5,3.0,1.8916666666666666,2.0
2019-11-20,1.0,4.0,2.540151515151515,2.5
2019-11-21,1.0,3.0,2.1810606060606057,2.0
2019-11-22,0.6,4.0,2.6075757575757574,2.5
2019-11-23,0.3,4.0,2.6893939393939394,3.0
2019-11-24,1.0,3.0,2.0568181818181817,2.0
2019-11-25,1.0,3.0,1.9196969696969697,2.0
2019-11-26,1.0,3.0,2.3204545454545453,2.0
2019-11-27,0.4,3.0,1.743939393939394,2.0
2019-11-28,0.9,2.5,1.7856060606060604,2.0
2019-11-29,1.0,4.5,2.716666666666667,3.0
2019-11-30,0.9,4.9,2.721212121212121,3.0
2019-12-01,1.0,3.0,1.9499999999999997,2.0
2019-12-02,1.0,2.5,1.7613636363636365,2.0
2019-12-03,1.0,3.0,2.039393939393939,2.0
2019-12-04,2.0,4.0,2.9242424242424243,3.0
2019-12-05,0.9,3.0,2.120454545454545,2.0
2019-12-06,1.0,3.0,2.086363636363636,2.0
2019-12-07,2.0,4.0,3.1818181818181817,3.0
2019-12-08,1.0,4.0,2.5681818181818183,3.0
2019-12-09,1.0,4.0,2.331818181818182,2.0
2019-12-10,0.6,3.5,2.165151515151515,2.0
2019-12-11,2.0,3.0,2.3174242424242424,2.1
2019-12-12,1.0,4.9,2.925757575757576,3.0
2019-12-13,1.0,5.0,3.066666666666667,3.0
2019-12-14,1.0,4.9,3.1356060606060603,3.0
2019-12-15,1.5,5.0,3.3136363636363635,3.5
2019-12-16,1.0,3.0,2.2007575757575757,2.0
2019-12-17,1.0,5.5,3.000757575757576,3.0
2019-12-18,2.5,5.0,3.749242424242424,4.0
2019-12-19,1.3,4.9,3.4901515151515152,3.6
2019-12-20,0.1,3.1,2.287878787878788,2.0
2019-12-21,1.6,3.5,2.5272727272727273,2.5
2019-12-22,2.0,4.9,3.30530303030303,3.0
2019-12-23,2.2,6.9,4.3530303030303035,4.5
2019-12-24,2.0,8.1,3.4439393939393943,3.0
2019-12-25,1.0,3.0,2.3621212121212123,2.0
2019-12-26,1.0,3.0,2.257575757575758,3.0
2019-12-27,0.9,3.0,2.1560606060606062,2.0
2019-12-28,1.0,5.0,3.39469696969697,4.0
2019-12-29,1.0,6.0,3.1522727272727273,3.0
2019-12-30,1.0,3.5,2.3621212121212123,2.0
2019-12-31,1.0,3.5,2.553030303030303,2.5
2020-01-01,1.0,3.0,2.2954545454545454,2.5
2020-01-02,1.0,4.0,2.5272727272727273,2.5
2020-01-03,1.0,4.0,2.5560606060606057,2.5
2020-01-04,1.0,5.5,3.234848484848485,3.0
2020-01-05,1.0,5.0,3.928787878787879,4.0
2020-01-06,0.9,3.5,2.3803030303030304,2.9
2020-01-07,1.0,3.5,2.228030303030303,2.0
2020-01-08,1.0,3.2,2.4196969696969695,2.5
2020-01-09,1.0,4.5,2.803787878787879,3.0
2020-01-10,1.0,3.5,2.4424242424242424,2.5
2020-01-11,0.6,3.0,2.1196969696969696,2.0
2020-01-12,1.0,4.5,2.55530303030303,2.5
2020-01-13,1.0,3.0,2.210606060606061,2.5
2020-01-14,1.0,3.0,2.2803030303030303,2.5
2020-01-15,1.0,4.0,2.6863636363636365,2.5
2020-01-16,3.0,10.0,5.135606060606061,4.9
2020-01-17,2.0,5.9,3.5454545454545454,4.0
2020-01-18,0.5,3.0,2.110606060606061,2.0
2020-01-19,0.5,3.5,2.0303030303030303,2.0
2020-01-20,1.0,3.5,2.1734848484848484,2.5
2020-01-21,1.0,3.1,2.340909090909091,2.0
2020-01-22,1.0,3.0,2.0515151515151517,2.0
2020-01-23,0.9,3.0,1.946212121212121,2.0
2020-01-24,1.0,5.0,2.759090909090909,2.5
2020-01-25,1.0,6.0,2.9113636363636366,3.0
2020-01-26,0.5,4.5,2.596969696969697,3.0
2020-01-27,0.5,3.5,1.9734848484848484,2.0
2020-01-28,0.9,3.5,2.433333333333333,3.0
2020-01-29,1.6,5.0,3.331818181818182,3.0
2020-01-30,1.5,14.0,5.304545454545455,4.9
2020-01-31,1.9,14.0,6.447727272727273,5.0
2020-02-01,3.0,9.1,5.306060606060606,5.0
2020-02-02,2.0,4.9,3.0515151515151517,3.0
2020-02-03,2.0,5.1,2.8477272727272727,3.0
2018-02-01,1.1,4.0,2.55530303030303,2.5
2018-02-02,1.0,3.9,2.2560606060606063,2.0
2018-02-03,1.0,4.9,2.6227272727272726,2.95
2018-02-04,1.0,6.9,3.3439393939393938,3.0
2018-02-05,1.0,6.0,3.4946969696969696,3.5
2018-02-06,1.0,4.9,2.4984848484848485,2.0
2018-02-07,1.0,4.0,2.287878787878788,2.5
2018-02-08,1.0,33.0,2.8878787878787877,2.0
2018-02-09,1.0,4.9,2.5545454545454547,2.0
2018-02-10,0.2,4.9,2.6613636363636366,3.0
2018-02-11,0.2,4.0,2.2765151515151514,2.5
2018-02-12,0.6,3.0,2.0651515151515154,2.0
2018-02-13,0.5,3.0,1.7121212121212122,2.0
2018-02-14,0.9,3.0,1.6757575757575758,1.9
2018-02-15,0.8,3.0,1.9416666666666667,2.0
2018-02-16,1.0,6.0,2.7090909090909094,3.0
2018-02-17,1.1,7.0,3.4454545454545453,3.5
2018-02-18,1.6,4.4,2.803787878787879,2.7
2018-02-19,1.0,4.8,2.5409090909090906,3.0
2018-02-20,0.8,3.0,1.7242424242424241,2.0
2018-02-21,0.3,8.1,2.7712121212121215,2.0
2018-02-22,2.3,9.1,5.518181818181818,5.3
2018-02-23,0.9,4.0,2.35,2.5
2018-02-24,0.4,3.5,1.8280303030303031,2.0
2018-02-25,1.4,4.8,2.7560606060606063,2.5
2018-02-26,0.1,3.3,1.7045454545454546,1.75
2018-02-27,0.4,3.2,1.8454545454545455,2.0
2018-02-28,0.6,3.0,1.5515151515151515,1.6
2018-03-01,0.5,3.0,1.5916666666666666,1.6
2018-03-02,0.1,3.0,1.5613636363636363,1.6
2018-03-03,0.2,3.0,1.4757575757575758,1.4
2018-03-04,0.4,3.5,1.537121212121212,1.5
2018-03-05,0.6,4.0,2.034090909090909,1.9
2018-03-06,0.5,4.1,2.1659090909090906,2.0
2018-03-07,0.5,3.5,1.8333333333333333,1.7000000000000002
2018-03-08,0.1,2.9,1.4954545454545456,1.5
2018-03-09,0.2,2.5,1.343939393939394,1.4
2018-03-10,0.1,3.5,1.4303030303030304,1.3
2018-03-11,0.4,4.4,1.9015151515151516,1.6
2018-03-12,0.0,4.3,1.8484848484848484,1.7
2018-03-13,0.3,4.5,1.7712121212121212,1.55
2018-03-14,0.6,3.0,1.812878787878788,1.9
2018-03-15,0.6,2.5,1.5204545454545453,1.5
2018-03-16,0.5,3.5,1.5924242424242423,1.5
2018-03-17,0.5,2.6,1.7772727272727273,2.0
2018-03-18,0.9,5.0,2.449242424242424,2.0
2018-03-19,0.5,2.0,1.178030303030303,1.0
2018-03-20,0.4,3.0,1.3590909090909091,1.1
2018-03-21,1.0,4.0,2.3143939393939394,2.5
2018-03-22,1.0,3.8,2.168181818181818,2.0
2018-03-23,0.9,3.4,1.7954545454545454,1.6
2018-03-24,0.5,5.0,2.143181818181818,1.5
2018-03-25,0.1,2.6,1.3469696969696972,1.2000000000000002
2018-03-26,0.5,3.1,1.6946969696969696,1.55
2018-03-27,0.1,2.5,1.3446969696969697,1.4
2018-03-28,1.0,3.6,2.537878787878788,2.5
2018-03-29,1.0,3.9,2.4075757575757577,2.5
2018-03-30,0.4,3.5,1.4681818181818183,1.5
2018-03-31,0.5,3.3,1.8515151515151516,1.7
2018-04-01,0.6,3.6,1.8469696969696972,1.75
2018-04-02,0.6,3.5,2.0484848484848484,1.6
2018-04-03,0.8,3.5,1.8803030303030301,2.0
2018-04-04,0.4,2.5,1.5613636363636363,1.6
2018-04-05,0.3,2.5,1.5606060606060606,1.6
2018-04-06,0.5,4.8,2.3022727272727272,2.05
2018-04-07,1.0,5.0,2.5704545454545453,2.5
2018-04-08,0.8,4.0,1.9931818181818184,2.0
2018-04-09,0.6,3.0,1.4803030303030305,1.15
2018-04-10,0.4,3.5,1.8462121212121212,1.9
2018-04-11,0.4,3.0,1.7787878787878788,2.0
2018-04-12,1.0,3.5,2.370454545454545,2.1
2018-04-13,0.5,3.0,1.781818181818182,2.0
2018-04-14,0.6,2.6,1.5795454545454546,2.0
